id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,latitude,longitude,regional,delegacia,uop
409622,2022-01-17,segunda-feira,17:55:00,RJ,40.0,105,DUQUE DE CAXIAS,Reação tardia ou ineficiente do condutor,Atropelamento de Pedestre,Com Vítimas Feridas,Anoitecer,Crescente,Céu Claro,Simples,Reta,Sim,3,0,0,1,2,0,1,2,-22.63784806,-43.28428824,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
410411,2022-01-22,sábado,13:40:00,RJ,40.0,109,DUQUE DE CAXIAS,Manobra de mudança de faixa,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Múltipla,Reta,Sim,5,0,2,0,3,0,2,2,-22.67374628,-43.28638368,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
412286,2022-02-01,terça-feira,07:00:00,RJ,40.0,109,DUQUE DE CAXIAS,Ultrapassagem Indevida,Tombamento,Com Vítimas Feridas,Pleno dia,Decrescente,Sol,Simples,Reta,Não,1,0,1,0,0,0,1,1,-22.67374628,-43.28638368,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
416788,2022-02-24,quinta-feira,08:20:00,RJ,40.0,113,DUQUE DE CAXIAS,Manobra de mudança de faixa,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Múltipla,Viaduto;Reta;Aclive           ,Sim,4,0,1,0,2,1,1,4,-22.70948502,-43.29040354,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
422201,2022-03-23,quarta-feira,00:30:00,RJ,40.0,120,DUQUE DE CAXIAS,Reação tardia ou ineficiente do condutor,Colisão traseira,Com Vítimas Feridas,Plena Noite,Decrescente,Nublado,Múltipla,Reta,Sim,3,0,0,1,2,0,1,2,-22.77280597,-43.28626763,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
422203,2022-03-23,quarta-feira,03:00:00,RJ,40.0,123,DUQUE DE CAXIAS,Reação tardia ou ineficiente do condutor,Colisão traseira,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Múltipla,Reta,Sim,5,0,0,2,1,2,2,3,-22.79907687,-43.29015739,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
422784,2022-03-26,sábado,07:20:00,DF,40.0,3,BRASILIA,Acessar a via sem observar a presença dos outros veículos,Colisão lateral mesmo sentido,Sem Vítimas,Amanhecer,Decrescente,Sol,Dupla,Reta,Sim,2,0,0,0,2,0,0,2,-16.003145,-47.983944,SPRF-DF,DEL01-DF,UOP01-DEL01-DF
423782,2022-03-31,quinta-feira,10:30:00,RJ,40.0,109,DUQUE DE CAXIAS,Carga excessiva e/ou mal acondicionada,Tombamento,Com Vítimas Feridas,Pleno dia,Decrescente,Sol,Simples,Curva,Sim,2,0,2,0,0,0,2,2,-22.67185765,-43.28458786,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
423804,2022-01-31,segunda-feira,06:30:00,RJ,40.0,123,DUQUE DE CAXIAS,Reação tardia ou ineficiente do condutor,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Chuva,Múltipla,Reta,Sim,3,0,0,1,0,2,1,3,-22.8041338,-43.29020012,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
442658,2022-04-10,domingo,11:20:00,RJ,40.0,120,DUQUE DE CAXIAS,Conversão proibida,Colisão transversal,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Viaduto,Sim,2,0,0,1,1,0,1,2,-22.77280597,-43.28626763,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
443251,2022-04-12,terça-feira,18:20:00,RJ,40.0,121,DUQUE DE CAXIAS,Manobra de mudança de faixa,Colisão lateral mesmo sentido,Com Vítimas Feridas,Plena Noite,Decrescente,Nublado,Múltipla,Curva,Sim,3,0,1,0,1,1,1,2,-22.78185499,-43.28571273,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
443689,2022-04-14,quinta-feira,12:20:00,RJ,40.0,109,DUQUE DE CAXIAS,Carga excessiva e/ou mal acondicionada,Tombamento,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Múltipla,Curva,Sim,1,0,1,0,0,0,1,1,-22.67374628,-43.28638368,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
446346,2022-04-27,quarta-feira,15:00:00,RJ,40.0,113,DUQUE DE CAXIAS,Reação tardia ou ineficiente do condutor,Engavetamento,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Múltipla,Declive,Sim,4,0,1,0,2,1,1,4,-22.70948502,-43.29040354,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
446950,2022-04-30,sábado,16:15:00,RJ,40.0,119,DUQUE DE CAXIAS,Entrada inopinada do pedestre,Atropelamento de Pedestre,Com Vítimas Fatais,Pleno dia,Crescente,Chuva,Múltipla,Reta,Sim,2,1,0,0,1,0,0,2,-22.76867308,-43.28670144,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
448986,2022-05-10,terça-feira,14:45:00,RJ,40.0,105,DUQUE DE CAXIAS,Reação tardia ou ineficiente do condutor,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Declive,Não,2,0,0,1,1,0,1,2,-22.63784806,-43.28428824,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
451296,2022-05-22,domingo,05:30:00,RJ,40.0,123,DUQUE DE CAXIAS,Reação tardia ou ineficiente do condutor,Colisão traseira,Com Vítimas Feridas,Amanhecer,Crescente,Céu Claro,Múltipla,Reta,Sim,3,0,1,0,2,0,1,3,-22.79907687,-43.29015739,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
452487,2022-05-28,sábado,09:30:00,RJ,40.0,121,DUQUE DE CAXIAS,Transitar na contramão,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Curva,Sim,3,0,1,0,2,0,1,3,-22.78185499,-43.28571273,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
452584,2022-05-28,sábado,19:40:00,RJ,40.0,119,DUQUE DE CAXIAS,Reação tardia ou ineficiente do condutor,Colisão traseira,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Múltipla,Reta,Sim,3,0,2,0,0,1,2,2,-22.76375592,-43.28683062,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
454137,2022-06-05,domingo,16:30:00,RJ,40.0,123,DUQUE DE CAXIAS,Trafegar com motocicleta (ou similar) entre as faixas,Colisão lateral mesmo sentido,Com Vítimas Feridas,Anoitecer,Crescente,Nublado,Dupla,Reta,Sim,3,0,0,1,2,0,1,3,-22.79907687,-43.29015739,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
461077,2022-07-11,segunda-feira,11:10:00,GO,40.0,2,VALPARAISO DE GOIAS,Velocidade Incompatível,Engavetamento,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Múltipla,Reta,Sim,6,0,2,0,4,0,2,6,-16.067129,-47.984235,SPRF-DF,DEL01-DF,UOP01-DEL01-DF
464434,2022-07-28,quinta-feira,08:00:00,RJ,40.0,123,DUQUE DE CAXIAS,Reação tardia ou ineficiente do condutor,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Reta,Sim,2,0,0,1,1,0,1,2,-22.78608019,-43.28550558,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
466037,2022-08-05,sexta-feira,09:45:00,MG,40.0,119,LAGOA GRANDE,Acessar a via sem observar a presença dos outros veículos,Colisão transversal,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Reta,Não,5,0,1,0,4,0,1,2,-17.6604168,-46.37414974,SPRF-MG,DEL14-MG,UOP01-DEL14-MG
466483,2022-08-07,domingo,08:50:00,RJ,40.0,113,DUQUE DE CAXIAS,Ingestão de álcool pelo condutor,Colisão traseira,Sem Vítimas,Pleno dia,Decrescente,Céu Claro,Simples,Reta,Sim,3,0,0,0,3,0,0,2,-22.71501415,-43.28960773,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
477484,2022-09-28,quarta-feira,23:20:00,RJ,40.0,113,DUQUE DE CAXIAS,Acumulo de água sobre o pavimento,Colisão transversal,Com Vítimas Feridas,Plena Noite,Crescente,Chuva,Dupla,Reta,Sim,2,0,1,0,1,0,1,2,-22.70948502,-43.29040354,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
481402,2022-09-09,sexta-feira,11:30:00,RJ,40.0,109,DUQUE DE CAXIAS,Reação tardia ou ineficiente do condutor,Colisão traseira,Sem Vítimas,Pleno dia,Crescente,Céu Claro,Múltipla,Reta,Sim,3,0,0,0,3,0,0,3,-22.680185,-43.2858917,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
481945,2022-10-21,sexta-feira,08:10:00,RJ,40.0,121,DUQUE DE CAXIAS,Reação tardia ou ineficiente do condutor,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Múltipla,Reta,Sim,2,0,1,0,1,0,1,2,-22.78185499,-43.28571273,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
483267,2022-10-27,quinta-feira,16:58:00,RJ,40.0,113,DUQUE DE CAXIAS,Manobra de mudança de faixa,Capotamento,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Múltipla,Reta,Não,2,0,1,0,1,0,1,2,-22.70948502,-43.29040354,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
484229,2022-10-31,segunda-feira,08:00:00,RJ,40.0,120,DUQUE DE CAXIAS,Trafegar com motocicleta (ou similar) entre as faixas,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Crescente,Sol,Múltipla,Reta,Sim,2,0,1,0,1,0,1,2,-22.77280597,-43.28626763,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
