id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,latitude,longitude,regional,delegacia,uop,distancia_ao_radar_mais_proximo,proximo_ao_radar
409834,2022-01-19,quarta-feira,08:20:00,SP,381.0,87,GUARULHOS,Manobra de mudança de faixa,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Múltipla,Reta,Não,2,0,1,0,1,0,1,2,-23.46885001,-46.56996601,SPRF-SP,DEL03-SP,UOP01-DEL03-SP,7.532224856795478,False
443569,2022-04-13,quarta-feira,21:10:00,SP,381.0,89,GUARULHOS,Manobra de mudança de faixa,Colisão lateral mesmo sentido,Com Vítimas Feridas,Plena Noite,Decrescente,Nublado,Múltipla,Reta;Interseção de Vias       ,Sim,3,0,1,0,2,0,1,2,-23.48469299,-46.55983288,SPRF-SP,DEL03-SP,UOP01-DEL03-SP,9.41393775623299,False
446444,2022-04-28,quinta-feira,08:10:00,MG,381.0,481,CONTAGEM,Condutor deixou de manter distância do veículo da frente,Colisão traseira,Sem Vítimas,Pleno dia,Decrescente,Sol,Múltipla,Reta,Sim,4,0,0,0,2,2,0,3,-19.96108676,-44.0524292,SPRF-MG,DEL01-MG,UOP03-DEL01-MG,3.449088687791689,True
446459,2022-04-28,quinta-feira,08:15:00,MG,381.0,481,CONTAGEM,Manobra de mudança de faixa,Colisão lateral mesmo sentido,Sem Vítimas,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,Sim,2,0,0,0,1,1,0,2,-19.95931561,-44.08825597,SPRF-MG,DEL01-MG,UOP03-DEL01-MG,0.3005554822458707,True
447680,2022-04-14,quinta-feira,16:10:00,MG,381.0,484,BETIM,Trafegar com motocicleta (ou similar) entre as faixas,Colisão lateral mesmo sentido,Com Vítimas Fatais,Pleno dia,Crescente,Céu Claro,Dupla,Reta,Sim,3,1,0,1,1,0,1,2,-19.95531717,-44.11722196,SPRF-MG,DEL01-MG,UOP03-DEL01-MG,3.359542923777554,True
449728,2022-05-14,sábado,05:00:00,MG,381.0,492,BETIM,Ingestão de álcool e/ou substâncias psicoativas pelo pedestre,Colisão lateral mesmo sentido,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Dupla,Reta,Não,3,0,2,0,1,0,2,2,-19.97490091,-44.19004301,SPRF-MG,DEL01-MG,UOP03-DEL01-MG,2.2276468084255825,True
452612,2022-05-28,sábado,23:00:00,MG,381.0,484,BETIM,Velocidade Incompatível,Tombamento,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Dupla,Reta,Sim,1,0,1,0,0,0,1,1,-19.95939259,-44.09013033,SPRF-MG,DEL01-MG,UOP03-DEL01-MG,0.49596692357067723,True
453195,2022-05-31,terça-feira,21:20:00,MG,381.0,484,BETIM,Velocidade Incompatível,Engavetamento,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Dupla,Reta;Declive                  ,Sim,5,0,1,0,4,0,1,3,-19.95531843,-44.1160512,SPRF-MG,DEL01-MG,UOP03-DEL01-MG,3.2383726329429035,True
454459,2022-06-07,terça-feira,11:00:00,SP,381.0,89,GUARULHOS,Ausência de reação do condutor,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Reta,Sim,2,0,0,1,1,0,1,2,-23.48805208,-46.55957043,SPRF-SP,DEL03-SP,UOP01-DEL03-SP,9.786454474001802,False
455768,2022-06-14,terça-feira,11:50:00,MG,381.0,484,CONTAGEM,Condutor deixou de manter distância do veículo da frente,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Aclive;Reta                   ,Sim,2,0,1,0,1,0,1,2,-19.95556046,-44.11289692,SPRF-MG,DEL01-MG,UOP03-DEL01-MG,2.908307960120553,True
